project_id,author,code_smells,lines_edited,commits,sonar_smells,mean,std,cv
org.apache:archiva,Wendy Smoak,"5,363394483","0,3524568671","0,808967988","0,874515304","616,1966667","205,2775463","0,3331364116"
org.apache:archiva,Olivier Lamy,"13,24744434","29,59887184","47,92557495","20,58548525","111,5229825","319,0802052","2,861116141"
org.apache:archiva,Maria Odea B. Ching,"6,735751295","4,581105384","6,529527332","7,833512086","978,832","1310,75359","1,339099651"
org.apache:archiva,Joakim Erdfelt,"29,35163142","12,10138972","4,784467815","29,64414377","204,8514925","592,1003919","2,890388469"
org.apache:archiva,Jesse McConnell,"4,775241563","0,6938878754","1,225008668","3,339933449","642,935","1247,054379","1,939627457"
org.apache:archiva,Jason van Zyl,"0,9802548663","0,4706837237","1,502369121","0,2681296923","1661,525","2862,69962","1,722935027"
org.apache:archiva,James William Dumay,"1,19030948","18,36287306","1,27123541","7,719385089","912,366","1032,787294","1,131987923"
org.apache:archiva,Edwin L. Punzalan,"3,276851982","1,84687769","2,02241997","2,206913621","210,4858974","587,0817071","2,789173594"
org.apache:archiva,Brett Porter,"32,47444336","17,65096393","16,68785392","26,48158843","489,5457143","1171,711957","2,39346791"
org.apache:batik,billh,"1,016088061","0,9104458766","2,027123483","2,103871982","341,46","306,0434221","0,8962789846"
org.apache:batik,Vincent Hardy,"22,31160034","32,46795738","26,52391149","21,58165452","276,3265306","438,6472326","1,587423515"
org.apache:batik,Thomas E. DeWeese,"9,864521592","13,80597059","16,61670236","15,91655951","340,0802439","390,9533071","1,149591351"
org.apache:batik,Thierry Kormann,"8,679085521","8,553765871","15,13204854","9,426346621","426,01","725,2602971","1,702448997"
org.apache:batik,Stephane Hillion,"53,85266723","19,00126507","11,73447537","45,4672096","250,9473684","355,6443689","1,417207007"
org.apache:batik,Dean Jackson,"1,989839119","0,6845750525","0,3140613847","1,418059723","1671,276667","2081,997148","1,245752537"
org.apache:batik,Christophe Jolif,"1,947502117","1,474296868","4,025695931","1,510930133","493,6025","471,6439351","0,9555136677"
org.apache:bcel,Torsten Curdt,"16,37010676","12,96647293","4,657849339","10,03643201","2457,27","5257,695622","2,139649132"
org.apache:bcel,Sebastian Bazley,"2,491103203","10,14263929","23,7492812","13,91467858","5161,096667","15226,80707","2,950304567"
org.apache:bcel,Emmanuel Bourg,"1,245551601","1,753139791","5,405405405","1,433776002","1932,555","2611,216844","1,351173366"
org.apache:bcel,David Brosius,"5,160142349","1,851325689","10,86831512","3,126101775","16490,88167","26824,87364","1,626648847"
org.apache:bcel,Benedikt Ritter,"0,8896797153","2,161528391","4,08280621","5,218004466","1086,58","215,116025","0,1979753216"
org.apache:beanutils,Simon Kitching,"1,5625","0,9463543711","2,428571429","1,534246575","994,86","1216,053958","1,222336769"
org.apache:beanutils,Robert Burrell Donkin,"32,8125","17,13674194","9,071428571","21,33333333","1062,8","1363,458723","1,28289304"
org.apache:beanutils,Niall Pemberton,"19,19642857","17,7650824",21,"19,67123288","2541,880909","3529,760924","1,388641345"
org.apache:beanutils,Gary D. Gregory,"6,25","10,64739702","6,785714286","7,287671233","734,86","1187,20788","1,615556542"
org.apache:beanutils,Craig R. McClanahan,"32,58928571","14,35958229","9,857142857","43,21461187","1212,186471","1549,826433","1,278537973"
