project_id,author,mean,std,cv
org.apache:ognl,Christian Grobmeier,22.23,2.3475945135393377,0.1056047914322689
org.apache:commons-fileupload,Martin Cooper,6697.360000000001,1046.686408242698,0.15628343231403088
org.apache:cocoon,Jeff Turner,419.355,82.39915321166839,0.19649021285466584
org.apache:bcel,Benedikt Ritter,1086.58,215.11602497257144,0.19797532162617704
org.apache:archiva,Wendy Smoak,616.1966666666667,205.2775463447801,0.3331364115538547
org.apache:net,Daniel Savarese,4147.115,1570.5478006256285,0.37870852402830124
org.apache:commons-exec,Niklas Gustavsson,1390.62,546.6783946709438,0.3931184613128992
org.apache:collections,Brent Worden,8140.2,4014.2027703891595,0.49313318719308613
org.apache:hive,Raghotham Murthy,739.4325,370.87120184551037,0.5015619435790425
org.apache:dbutils,David Graham,4634.9,2920.393432707313,0.6300876896388947
org.apache:cocoon,Torsten Curdt,5420.116666666667,3613.619078629253,0.6667050362315546
org.apache:validator,Sebastian Bazley,8439.44,5861.064913162112,0.6944850503306039
org.apache:cocoon,Stefano Mazzocchi,1180.475,825.5542381031062,0.6993407214071508
org.apache:validator,Benjamin Speakmon,95.82,68.31573269264798,0.7129590136991024
org.apache:commons-io,Nicola Ken Barozzi,0.018,0.013038404810405298,0.7243558228002944
org.apache:commons-cli,Robert James Oxspring,3255.653333333333,2395.402339615066,0.7357670164355335
org.apache:hive,Paul Yang,1799.25,1362.0715083283992,0.7570218192738081
org.apache:hive,Gopal Vijayaraghavan,1131.876,889.6389701052896,0.7859862477031845
org.apache:hive,Dhruba Borthakur,660.4875,556.2764473637785,0.8422210070043393
org.apache:httpclient,Jonathan Moore,3655.9133333333334,3145.72214479177,0.86044767968381
org.apache:commons-cli,Niall Kegan Pemberton,970.1700000000001,840.6390435852953,0.8664863308340758
org.apache:hive,Eric N. Hanson,195.0914285714286,170.00868766316734,0.8714308409552819
org.apache:commons-io,Sebastian Bazley,7343.1900000000005,6483.027106540071,0.8828625034269943
org.apache:cocoon,Simone Gianni,973.8766666666667,860.6808962869651,0.8837678586477054
org.apache:digester,Rahul Akolkar,11415.703333333333,10209.518433904377,0.8943398523762481
org.apache:batik,billh,341.46000000000004,306.0434220825535,0.8962789846030383
org.apache:cocoon,Christian Haul,1002.8633333333333,924.9414349027727,0.9223005809061116
org.apache:commons-io,Martin Cooper,3199.175,2965.2310737023513,0.9268736701500703
org.apache:zookeeper,Flavio Paiva Junqueira,7223.27,6723.878382302881,0.9308634984297804
org.apache:cocoon,Pier Fumagalli,2599.445,2442.665959158149,0.9396874945067691
org.apache:batik,Christophe Jolif,493.6025,471.6439351442286,0.9555136676662468
org.apache:hive,Ning Zhang,1315.4718181818182,1279.1033307267883,0.9723532751121216
org.apache:dbcp,Mark Thomas,9647.284285714284,9385.952952914722,0.972911409567712
org.apache:cocoon,Joerg Heinicke,3420.7419999999997,3335.3196927985778,0.9750281350650175
org.apache:hive,Vikram Dixit K,1295.9516666666666,1290.4042383751948,0.9957194172945196
org.apache:commons-exec,Siegfried Goeschl,23633.543333333335,23628.03651509015,0.9997669914254703
org.apache:hive,Kevin Wilfong,964.5022222222223,970.724186777297,1.0064509592738307
org.apache:dbcp,John McNally,5207.2,5261.2421475541305,1.0103783506594965
org.apache:santuario,Berin Lautenbach,1055.9014285714286,1077.1958272048862,1.0201670326957202
org.apache:cocoon,Jeremy Quinn,1456.0359999999998,1501.6491270366723,1.0313269225738049
org.apache:hive,Navis Ryu,1245.992,1317.9547924281942,1.0577554209242068
org.apache:commons-io,Stephen Colebourne,2975.133,3177.6926455319394,1.0680842320433874
org.apache:hive,John Sichi,625.357894736842,672.1459269598046,1.074818008402455
org.apache:cocoon,Marc Portier,1296.1075,1403.443050890084,1.0828137719209894
