"project_id","author","code_smells","lines_edited","commits","sonar_smells","mean","std","cv"
org.apache:hive,Raghotham Murthy,0.17371163867979156,0.23370595148940534,0.14929248344800727,0.15833595419102256,739.4325,370.87120184551037,0.5015619435790425
org.apache:validator,Benjamin Speakmon,7.9422382671480145,2.1929774084772875,3.468586387434555,4.43010752688172,95.82,68.31573269264798,0.7129590136991024
org.apache:commons-io,Nicola Ken Barozzi,23.50877192982456,4.411170967481457,0.4508566275924256,16.69238683127572,0.018,0.013038404810405298,0.7243558228002944
org.apache:hive,Gopal Vijayaraghavan,0.030110017371163866,0.08719924365572575,0.29209398935479686,0.16007114273010226,1131.876,889.6389701052896,0.7859862477031845
org.apache:hive,Dhruba Borthakur,2.594093804284887,0.4721232110479025,0.22069323640140204,2.004142762637053,660.4875,556.2764473637785,0.8422210070043393
org.apache:hive,Eric N. Hanson,0.24088013896931093,0.07376870764501836,0.11683759574191874,0.1685301868581158,195.0914285714286,170.00868766316734,0.8714308409552819
org.apache:commons-io,Sebastian Bazley,3.508771929824561,5.105030626723114,10.610159302675083,5.426954732510288,7343.1900000000005,6483.027106540071,0.8828625034269943
org.apache:batik,billh,1.0160880609652836,0.9104458765593525,2.027123483226267,2.103871981711673,341.46000000000004,306.0434220825535,0.8962789846030383
org.apache:cocoon,Christian Haul,1.0287118071549208,0.2947149299225987,0.6459211976138911,0.45861071884876603,1002.8633333333333,924.9414349027727,0.9223005809061116
org.apache:cocoon,Pier Fumagalli,32.28926761860894,9.315283420633083,0.27356662487176564,18.0754488601977,2599.445,2442.665959158149,0.9396874945067691
org.apache:batik,Christophe Jolif,1.947502116850127,1.474296867900971,4.025695931477516,1.510930132876125,493.6025,471.6439351442286,0.9555136676662468
org.apache:hive,Ning Zhang,0.9959467284308049,0.8354893748512047,0.7659353498636895,1.5885651075274647,1315.4718181818182,1279.1033307267883,0.9723532751121216
org.apache:dbcp,Mark Thomas,17.56756756756757,18.983913432346977,17.102040816326532,26.795332136445243,9647.284285714284,9385.952952914722,0.972911409567712
org.apache:cocoon,Joerg Heinicke,0.41455550437586364,0.9550966541506085,2.982636118393556,0.6092394593504136,3420.7419999999997,3335.3196927985778,0.9750281350650175
org.apache:hive,Vikram Dixit K,0.2246670526925304,0.17601767301147195,0.31156692197844993,0.3262154453469835,1295.9516666666666,1290.4042383751948,0.9957194172945196
org.apache:hive,Kevin Wilfong,1.605095541401274,0.4597129361341973,0.5582240685447228,0.8465551085035083,964.5022222222223,970.724186777297,1.0064509592738307
org.apache:santuario,Berin Lautenbach,1.3520540821632865,23.746788327509915,20.132358063392545,3.0445438237449154,1055.9014285714286,1077.1958272048862,1.0201670326957202
org.apache:cocoon,Jeremy Quinn,0.2917242438200522,0.2471590608808388,0.3875527185683347,0.5433393853809427,1456.0359999999998,1501.6491270366723,1.0313269225738049
org.apache:hive,Navis Ryu,0.2779386218876665,0.23017159990764025,0.8243541477346489,0.473272674033988,1245.992,1317.9547924281942,1.0577554209242068
org.apache:commons-io,Stephen Colebourne,10.175438596491228,7.743196945402531,7.123534715960325,16.358024691358025,2975.133,3177.6926455319394,1.0680842320433874
org.apache:hive,John Sichi,1.753329473074696,0.8072528655147188,1.174866934960405,0.8051274821329805,625.357894736842,672.1459269598046,1.074818008402455
org.apache:cocoon,Marc Portier,0.15353907569476433,0.07577495681644633,0.41034993730764846,0.17483693093941227,1296.1075,1403.443050890084,1.0828137719209894
org.apache:cocoon,Antonio Gallardo Rivera,0.2303086135421465,1.6745368343477371,4.544245602036551,0.6092394593504136,2524.9759999999997,2737.7793712021426,1.0842793639235158
org.apache:codec,Timothy O'Brien,22.794117647058822,8.846685593068294,4.188235294117647,11.700615821885362,1079.932,1184.2019172717125,1.0965522989148506
org.apache:validator,David Graham,11.191335740072201,13.797171168475446,13.023560209424083,10.924731182795698,1978.6375,2170.8010665568336,1.0971191370611513
org.apache:commons-jexl,Geir Magnusson Jr,13.390928725701944,6.948868123190313,2.8877005347593583,2.5651288022121963,1701.0883333333331,1878.7657833739322,1.1044492790638536
org.apache:hive,Harish Butani,2.4620729588882457,0.24612319064268057,0.4348954952615864,1.8210803717641444,1184.85,1317.002519253475,1.1115352316778284
org.apache:hive,Vaibhav Gumashta,0.03705848291835553,0.5477444064185357,0.9022458782292613,0.16809638972334587,888.4525,994.442749529437,1.119297598385324
org.apache:hive,Zheng Shao,3.349160393746381,2.042440842005814,1.9602752174477476,1.8228155603032241,394.42117647058825,444.7185472194725,1.1275219834770582
org.apache:hive,Eugene Koifman,0.050955414012738856,0.33305779319474704,1.687654160716604,0.10931687796202107,593.5325,670.9358186083573,1.1304112556740487
org.apache:archiva,James William Dumay,1.1903094804649208,18.362873060861816,1.2712354096845024,7.719385089239061,912.366,1032.787293628267,1.131987923298618
org.apache:net,Steven M. Cohen,3.8766038766038764,4.533345818020085,4.317718940936864,5.137952882898451,2633.2000000000003,2990.0551173961103,1.1355214633890742
org.apache:hive,Jitendra Nath Pandey,0.09727851766068327,0.05715203203104491,0.1752563936128781,0.16874708542550076,237.7425,270.3732092713083,1.1372523182489809
org.apache:batik,Thomas E. DeWeese,9.864521591871295,13.805970589588936,16.616702355460387,15.916559508501214,340.08024390243907,390.9533070552532,1.1495913510559832
org.apache:collections,Phil Steitz,3.4354688950789227,0.927244565951829,1.2143462298785654,3.766859344894027,257.6709090909091,301.11190775040916,1.168591009411053
org.apache:cayenne,Tore Halset,0.3685277317118113,0.5333653495080802,1.1852776044915783,0.8967499009116131,1241.0040000000001,1457.620811332632,1.174549647972635
org.apache:collections,Henri Yandell,1.5784586815227484,8.937203089429204,8.641626659135838,3.3911368015414256,12039.4,14298.576270948097,1.1876485764197633
org.apache:cocoon,Bertrand Delacretaz,0.5834484876401044,3.180878312667315,1.3830312701850374,0.7719722950709434,1748.92,2083.1312460452414,1.1910957882837645
org.apache:cocoon,Vadim Gritsenko,2.134193152157224,4.238832076176082,9.582430943424901,1.542599690673122,1912.695,2296.3452267587495,1.2005809743627445
