project_id;author;code_smells;lines_edited;commits;sonar_smells
org.apache:archiva;Wendy Smoak;5,36339448256547;0,352456867118016;0,808967987981047;0,87451530401782
;Olivier Lamy;13,2474443355272;29,5988718415315;47,9255749451057;20,5854852459918
;Maria Odea B. Ching;6,73575129533679;4,58110538404734;6,52952733156131;7,83351208646151
;Marecor M. Baclay;0,322083741772861;0,399432585211822;0,196463654223968;0,171878007865138
;Joakim Erdfelt;29,3516314241703;12,1013897214905;4,78446781463076;29,644143772516
;Jevica Arianne B. Zurbano;0,140036409466461;0,103355845234003;0,312030509649832;0,082501443775266
;Jesse McConnell;4,77524156280633;0,693887875354055;1,22500866751416;3,33993344883535
;Jason van Zyl;0,980254866265229;0,470683723701242;1,50236912053623;0,268129692269615
;James William Dumay;1,19030948046492;18,3628730608618;1,2712354096845;7,71938508923906
;Emmanuel Venisse;2,12855342389021;0,115771518260768;1,2712354096845;0,708137392404367
;Edwin L. Punzalan;3,27685198151519;1,84687768986946;2,02241996995262;2,20691362098837
;Carlos Sanchez Gonzalez;0,0140036409466461;0,0947853246744823;1,2712354096845;0,0123752165662899
;Brett Porter;32,4744433552724;17,6509639287637;16,6878539234947;26,4815884277975
org.apache:batik;billh;1,01608806096528;0,910445876559352;2,02712348322627;2,10387198171167
;Vincent Hardy;22,311600338696;32,467957379568;26,5239114917916;21,5816545220746
;Thomas E. DeWeese;9,8645215918713;13,8059705895889;16,6167023554604;15,9165595085012
;Thierry Kormann;8,67908552074513;8,55376587084768;15,1320485367595;9,42634662094585
;Stephane Hillion;53,85266723116;19,0012650654306;11,7344753747323;45,4672096013716
;Dean Jackson;1,98983911939035;0,684575052484874;0,314061384725196;1,41805972281755
;Christophe Jolif;1,94750211685013;1,47429686790097;4,02569593147752;1,51093013287613
;Bella Robinson;0,338696020321761;0,642327531576482;1,05638829407566;1,18231175882269
org.apache:bcel;Torsten Curdt;16,3701067615658;12,9664729323416;4,6578493387004;10,0364320131625
;Sebastian Bazley;2,49110320284698;10,1426392945001;23,7492811960897;13,9146785756258
;Markus Dahm;0,533807829181495;2,05273266101768;7,93559516963772;2,62075449524033
;Mark Thomas;0,177935943060498;0,260570269453755;0,690051753881541;0,340815607004348
;Mark Emlyn David Thomas;5,87188612099644;4,6942210585375;0,805060379528465;8,23833587965683
;Jason van Zyl;37,3665480427046;16,3285307361425;1,32259919493962;41,0741567751792
;Gary D. Gregory;0,533807829181495;4,23781847477378;12,7659574468085;4,36008931719356
;Emmanuel Bourg;1,24555160142349;1,75313979082447;5,40540540540541;1,43377600188036
;David Dixon-Peugh;0,355871886120996;0,0906331372013062;0,172512938470385;0,293806557762369
;David Brosius;5,16014234875445;1,85132568945922;10,8683151236343;3,12610177459161
;Conor MacNeill;18,3274021352313;3,93696681100833;0,172512938470385;1,23398754260195
;Chas Honton;10,6761565836299;22,6106299722346;1,32259919493962;7,4156775179222
;Benedikt Ritter;0,889679715302491;2,16152839118988;4,08280621046578;5,21800446585968
org.apache:beanutils;Vadim Gritsenko;1,78571428571429;0,121379354990108;0,142857142857143;0,182648401826484
;Stian Soiland-Reyes;1,11607142857143;1,11223948955935;4,5;1,53424657534247
;Simon Kitching;1,5625;0,946354371072872;2,42857142857143;1,53424657534247
;Rodney Waldhoff;2,00892857142857;0,790584198835567;0,428571428571428;1,27853881278539
;Robert Burrell Donkin;32,8125;17,1367419353534;9,07142857142857;21,3333333333333
;Oliver Heger;0,892857142857143;3,22869084273686;12,6428571428571;1,31506849315069
;Niall Pemberton;19,1964285714286;17,7650823963521;21;19,6712328767123
;James Strachan;0,892857142857143;0,212413871232688;0,5;0,182648401826484
;Henri Yandell;0,446428571428571;2,20465368447032;4;0,91324200913242
;Geir Magnusson Jr;0,446428571428571;0,150105802337766;0,357142857142857;0,474885844748858
;Gary D. Gregory;6,25;10,6473970197322;6,78571428571429;7,28767123287671
;Craig R. McClanahan;32,5892857142857;14,3595822931797;9,85714285714286;43,2146118721461
org.apache:cayenne;Tore Halset;0,368527731711811;0,53336534950808;1,18527760449158;0,896749900911613
;Michael Ray Gentry;0,0368527731711811;0,142647408718268;1,15408608858391;0,178359096313912
;Kevin Joseph Menard, Jr;0,257969412198268;0,932196978418686;2,46412975670618;0,574712643678161
;Andrus Adamchik;99,3366500829187;52,1761679051005;52,292576419214;98,1420927467301
org.apache:cocoon;Vadim Gritsenko;2,13419315215722;4,23883207617608;9,5824309434249;1,54259969067312
;Upayavira;0,706279748195916;1,33273679762828;0,866294312093924;0,476094411942707
;Unico Hommes;0,506678949792722;0,67965632934953;2,72806717580455;0,817698877008944
;Ugo Cei;0,307078151389529;0,364343330635777;0,691515635092519;0,158698137314236
;Torsten Curdt;0,122831260555811;0,814756211330323;0,471142520612485;0,209804317127295
;Timothy D. Larson;0,153539075694764;0,377586849638628;0,752308218397356;0,450541322036178
;Sylvain Wallez;1,8271150007677;1,16900924177345;2,23412743645275;1,21982381816959
;Stephan Michels;1,3050821434055;1,28441705022687;1,816178426232;1,25210140541995
;Stefano Mazzocchi;0,414555504375864;0,284971039683747;0,740909609027699;0,164077735189295
;Simone Gianni;0,261016428681099;0,138670569196854;0,288764770697975;0,505682200255531
;Reinhard Pötz;11,7150314755105;11,664378140395;7,63706827767012;23,6890592428216
;Ralph Goers;0,0767695378473821;1,13936010265104;0,296363843611079;0,119696052720059
;Pier Fumagalli;32,2892676186089;9,31528342063308;0,273566624871766;18,0754488601977
;Par Daniel Fagerstrohm;4,17626285889759;3,183427534635;3,2979976442874;3,19951583619125
;Nicola Ken Barozzi;0,0921234454168585;0,0781820618800094;0,205174968653824;0,0349673861878824
;Marc Portier;0,153539075694764;0,0757749568164463;0,410349937307648;0,174836930939412
;Leszek Gawron;1,71963764778136;0,624763675132482;1,6565978950568;0,808284580727591
;Lars Trieloff;0,0307078151389528;0,0447668247983694;0,151981458262092;0,0242081904377647
;Jorg Heymans;2,11883924458775;5,49383092724973;1,8237774991451;7,91338847421155
;Joerg Heinicke;0,414555504375864;0,955096654150608;2,98263611839356;0,609239459350414
;Jeremy Quinn;0,291724243820052;0,247159060880839;0,387552718568335;0,543339385380943
;Jeff Turner;0,307078151389529;0,0775780650374917;0,569930468482845;0,115661354313765
;Jean-Baptiste Quenot;1,98065407646246;0,766720697737152;0,402750864394544;2,33071077936924
;Guido Casper;0,230308613542146;0,193776398770085;0,387552718568335;0,229977809158765
;Gregor Rothfuss;0,0460617227084292;0,0854833178292673;0,0075990729131046;0,123730751126353
;Gianugo Rabellino;0,383847689236911;0,111934826608939;0,303962916524184;0,266290094815412
;Giacomo Pati;1,13618916014126;0,777512700143902;1,91496637410236;1,06112568085536
;Geoffrey Alexander Howard;0,21495470597267;0,177166485600848;0,493939739351799;0,197700221908412
;David Crossley;0,0460617227084292;3,660043219527;3,48037539420191;0,0537959787505883
;Christopher Oliver;0,936588361738062;1,42404690852654;2,04415061362514;2,3858516575886
;Christian Haul;1,02871180715492;0,294714929922599;0,645921197613891;0,458610718848766
;Carsten Ziegeler;29,4795025333948;24,7340437579724;20,7302709069494;27,3229776074238
;Bruno Dumon;2,31844004299094;0,43923893910797;1,75918537938372;1,63539775401789
;Bertrand Delacretaz;0,583448487640104;3,18087831266732;1,38303127018504;0,771972295070943
;Bernhard Huber;0,245662521111623;0,136272346439798;0,159580531175197;0,248806401721471
;Antonio Gallardo Rivera;0,230308613542146;1,67453683434774;4,54424560203655;0,609239459350414
;Anthony Collen;0,0153539075694764;0,0578948738166214;0,37995364565523;0,0295877883128236
org.apache:codec;Timothy O'Brien;22,7941176470588;8,84668559306829;4,18823529411765;11,7006158218854
;Thomas Neidhart;0,735294117647059;2,41100545629162;2,91764705882353;1,75272382756987
;Stefan Bodewig;4,41176470588235;0,157250957753316;0,0470588235294117;0,378967314069162
;Sebastian Bazley;11,7647058823529;11,0946355260519;13,7411764705882;13,5954523922312
;Julius Davies;1,47058823529412;1,44744757421929;0,564705882352941;2,65277119848413
;Jochen Wiedmann;8,82352941176471;0,810000738762889;0,0941176470588235;2,88962576977736
;Henri Yandell;2,94117647058824;1,73503741306344;3,01176470588235;4,12126954050213
;Gary D. Gregory;47,0588235294118;52,3577089907444;52,3294117647059;62,5769777356703
org.apache:collections;pjack;4,2711234911792;1,72714893086207;1,10138378988986;3,34296724470135
;Thomas Neidhart;12,627669452182;31,1019865071362;18,7235244281277;11,3969171483622
;Stephen Colebourne;37,1402042711235;30,4084242039938;25,8966393674103;36,3583815028902
;Rodney Waldhoff;19,8700092850511;7,437083545567;4,23609149957639;22,1001926782274
;Phil Steitz;3,43546889507892;0,927244565951829;1,21434622987856;3,76685934489403
;Morgan James Delagrange;3,24976787372331;1,04491730683271;3,7560011296244;2,84200385356455
;Michael Smith;3,52831940575673;2,03785902140355;2,03332391979667;4,00770712909441
;Matthew Jason Benson;0,0928505106778087;0,262892545660558;0,593052809940695;0,366088631984586
;Matthew Hawthorne;1,76415970287837;0,121414983523737;0,169443659983056;0,414258188824663
;Luc Maisonobe;0,928505106778087;0,925269493445878;0,112962439988704;0,423892100192678
;Jason van Zyl;1,48560817084494;0,240543040987952;0,254165489974583;0,982658959537572
;James W. Carman;0,74280408542247;0,290647511928398;0,282406099971759;0,655105973025048
;James Strachan;5,47818012999072;1,03680911443986;0,649534029935047;2,36994219653179
;Henri Yandell;1,57845868152275;8,9372030894292;8,64162665913584;3,39113680154143
;Geir Magnusson Jr;1,0213556174559;0,241374650464142;0,536571589946343;0,635838150289017
;Gary D. Gregory;0,0928505106778087;1,79492510317155;2,90878282970912;0,664739884393064
;Dipanjan Laha;0,185701021355617;0,0583166145178224;0,0564812199943518;0,1252408477842
;Craig R. McClanahan;1,67130919220056;0,767263692969781;0,282406099971759;4,04624277456647
;Brent Worden;0,649953574744661;0,460503747440202;0,508330979949167;0,626204238921002
;Arron Claude Bates;0,185701021355617;0,108005280720174;0,0564812199943518;0,183044315992293
org.apache:commons-cli;Sebastian Bazley;0,948821161587119;0,215351663446092;2,88557213930348;0,860125756317475
;Robert James Oxspring;29,9022426682001;15,3097571764487;6,86567164179105;13,4861786688812
;Oliver Heger;1,17883841288097;0,714152678509068;0,995024875621891;1,47407758927512
;No Author;0,948821161587119;0;0,099502487562189;4,20571835330407
;Niall Kegan Pemberton;4,31282346175963;2,90957558261355;3,78109452736318;3,67777909597817
;John Keyes;10,149511213341;13,2499476171629;11,044776119403;16,1881599240717
;Henri Yandell;39,9942495687177;48,3598351686727;21,4925373134328;43,2524617392336
;Emmanuel Bourg;12,5359401955147;7,96859357902824;14,4278606965174;16,0546921342983
;Benedikt Ritter;0,0287521564117308;1,65646171396643;8,55721393034826;0,258037726895243
org.apache:commons-exec;Siegfried Goeschl;7,46268656716418;36,9886065822505;43,6681222707424;27,7777777777778
;Niklas Gustavsson;28,3582089552239;13,8569339843858;1,45560407569141;13,7373737373737
;Brett Porter;58,2089552238806;17,3549615161798;2,62008733624454;18,0808080808081
;Benedikt Ritter;5,97014925373134;6,16844602609727;3,49344978165939;6,96969696969697
org.apache:commons-fileupload;Stephen Colebourne;3,92156862745098;2,54501253513637;0,27002700270027;0,322061191626409
;Simone Tripodi;13,7254901960784;14,6015346045734;23,2223222322232;8,85668276972625
;Sean Sullivan;17,6470588235294;4,81653118589987;2,88028802880288;21,7391304347826
;Martin Cooper;49,0196078431373;25,8314973790169;12,1512151215122;38,0032206119163
;Jochen Wiedmann;15,6862745098039;19,802476639064;11,2511251125113;24,1545893719807
org.apache:commons-io;Stephen Colebourne;10,1754385964912;7,74319694540253;7,12353471596033;16,358024691358
;Sebastian Bazley;3,50877192982456;5,10503062672311;10,6101593026751;5,42695473251029
;Scott Sanders;2,80701754385965;0,481606662898407;0,240456868049294;1,02880658436214
;Olivier Lamy;0,701754385964912;0,467764076180369;0,510970844604749;0,925925925925926
;Nicola Ken Barozzi;23,5087719298246;4,41117096748146;0,450856627592426;16,6923868312757
;Niall Pemberton;20,3508771929824;10,5512233386012;10,2795311091073;20,3446502057613
;Martin Cooper;3,1578947368421;1,04511529721187;0,510970844604749;2,82921810699589
;Kristian Rosenvold;0,350877192982456;3,7937339224123;2,40456868049294;8,0761316872428
;Jukka Zitting;0,701754385964912;0,494584087946568;0,420799519086264;0,540123456790123
