"project_id","author","lines_edited","code_smells","sonar_smells","commits"
org.apache:archiva,Brett Porter,17.650963928763687,32.47444335527237,26.481588427797487,16.687853923494743
org.apache:archiva,Edwin L. Punzalan,1.8468776898694594,3.2768519815151937,2.206913620988367,2.0224199699526175
org.apache:archiva,Jason van Zyl,0.47068372370124184,0.980254866265229,0.2681296922696147,1.5023691205362302
org.apache:archiva,Ernesto S. Tolentino Jr,0.0004169442434361,,,0.046226742170345544
org.apache:archiva,Maria Odea B. Ching,4.581105384047342,6.7357512953367875,7.833512086461513,6.529527331561308
org.apache:archiva,Kenney Westerhof,,,,0.03467005662775916
org.apache:archiva,Carlos Sanchez Gonzalez,0.09478532467448236,,0.01237521656628991,1.2712354096845024
org.apache:archiva,Emmanuel Venisse,0.11577151826076805,,0.7081373924043671,1.2712354096845024
org.apache:archiva,John Dennis Casey,,,,0.011556685542586386
org.apache:archiva,Jesse McConnell,0.6938878753540552,4.77524156280633,3.3399334488353545,1.225008667514157
org.apache:archiva,Arnaud Heritier,0.06698904177873974,,,0.15023691205362302
org.apache:archiva,Joakim Erdfelt,12.101389721490511,29.351631424170286,29.64414377251602,4.784467814630764
org.apache:archiva,Henri Yandell,0.07227033552893083,,0.020625360943816517,0.4969374783312146
org.apache:archiva,Fabrizio Giustina,,,,0.011556685542586386
org.apache:archiva,Wendy Smoak,0.35245686711801655,5.363394482565467,0.8745153040178203,0.8089679879810471
org.apache:archiva,Andrew Williams,,,,0.023113371085172772
org.apache:archiva,Fabrice Bellingard,0.009126446217435497,,,0.13868022651103665
org.apache:archiva,Nicolas De Loof,0.08695603832551485,,0.042625745950554135,0.21957702530914133
org.apache:archiva,Dennis Lundberg,0.0075049963818505094,,,0.046226742170345544
org.apache:archiva,James William Dumay,18.362873060861816,1.1903094804649208,7.719385089239061,1.2712354096845024
org.apache:archiva,Martin Cooper,,,,0.011556685542586386
org.apache:archiva,Marecor M. Baclay,0.39943258521182157,,0.17187800786513763,0.19646365422396855
org.apache:archiva,Jevica Arianne B. Zurbano,0.10335584523400301,,0.08250144377526607,0.3120305096498324
org.apache:archiva,Olivier Lamy,29.598871841531537,13.247444335527238,20.585485245991805,47.925574945105744
org.apache:archiva,Jean-Baptiste Onofre,0.0037524981909252547,,,0.06934011325551832
org.apache:archiva,skygo,0.32331709721564633,,,1.0401016988327747
org.apache:archiva,alecharp,,,,0.023113371085172772
org.apache:archiva,Eric Barboni,0.35481955116415465,,,0.6240610192996648
org.apache:archiva,Sascha Vogt,,,,0.023113371085172772
org.apache:archiva,forjsharp,,,,0.011556685542586386
org.apache:archiva,Jonathan Sharp,0.0067637621712973725,,,0.057783427712931934
org.apache:archiva,Carlos Sanchez,0.2174595865210265,,,0.15023691205362302
org.apache:archiva,Andrey Sysoev,,,,0.011556685542586386
org.apache:archiva,Eduardo Souza,,,,0.011556685542586386
org.apache:archiva,Bernd Eckenfels,,,,0.023113371085172772
org.apache:archiva,Paul Thompson,,,,0.023113371085172772
org.apache:archiva,olivier lamy,0.33341641333443284,,,1.1094418120882932
org.apache:archiva,Jalal Almutawa,,,,0.011556685542586386
org.apache:archiva,Ciprian Ciubotariu,,,,0.023113371085172772
org.apache:archiva,Martin Stockhammer,12.11431499303703,,,9.707615855772564
org.apache:archiva,Dave Brosius,,,,0.011556685542586386
org.apache:archiva,Daniel Trebbien,,,,0.023113371085172772
org.apache:archiva,jacobtolar,,,,0.011556685542586386
org.apache:archiva,Joel Strasser,,,,0.011556685542586386
org.apache:archiva,Jozef Izso,,,,0.011556685542586386
org.apache:archiva,Luca,,,,0.011556685542586386
org.apache:batik,(no author),,,,0.028551034975017844
org.apache:batik,James Duncan Davidson,0.0005900491746982,,,0.08565310492505353
org.apache:batik,Dean Jackson,0.684575052484874,1.989839119390347,1.4180597228175453,0.3140613847251963
org.apache:batik,Stephane Hillion,19.00126506543055,53.852667231160034,45.46720960137162,11.734475374732334
org.apache:batik,Vincent Hardy,32.46795737956801,22.31160033869602,21.581654522074583,26.523911491791576
org.apache:batik,Thierry Kormann,8.553765870847677,8.679085520745131,9.42634662094585,15.132048536759457
org.apache:batik,billh,0.9104458765593525,1.0160880609652836,2.103871981711673,2.027123483226267
org.apache:batik,Christophe Jolif,1.474296867900971,1.947502116850127,1.510930132876125,4.025695931477516
org.apache:batik,Thomas E. DeWeese,13.805970589588936,9.864521591871295,15.916559508501214,16.616702355460387
org.apache:batik,Stefano Mazzocchi,0.18624902199349294,,,0.15703069236259815
org.apache:batik,Bella Robinson,0.6423275315764816,,1.182311758822689,1.0563882940756602
org.apache:batik,Nicolas Socheleau,1.1244567122223965,,,0.4568165596002855
org.apache:batik,Cameron McCormack,16.792150457819154,,,11.705924339757317
org.apache:batik,Jeremias Maerki,0.049977165096939176,,,0.22840827980014275
org.apache:batik,Dieter von Holten,1.4673932925570017,,,2.626695217701642
org.apache:batik,Clay Leeds,0.08130877627341462,,,0.22840827980014275
org.apache:batik,Helder Miguel Alves Magalhães,0.2902451890340541,,,0.9421841541755889
org.apache:batik,Vincent Hennebert,0.1820891753118705,,,0.742326909350464
org.apache:batik,Luis Bernardo,0.325412119846068,,,0.5139186295503212
org.apache:batik,Glenn Adams,0.5945925533433957,,,1.8700927908636689
org.apache:batik,Simon Steiner,1.1707755724362068,,,2.798001427551749
org.apache:bcel,No Author,,,,0.05750431282346176
org.apache:bcel,Sam Ruby,,,,0.05750431282346176
org.apache:bcel,Jason van Zyl,16.328530736142483,,,1.3225991949396205
org.apache:bcel,Markus Dahm,2.052732661017681,,2.620754495240334,7.935595169637723
org.apache:bcel,Enver Haase,12.12883572384227,,0.6933834763191914,2.8177113283496262
org.apache:bcel,David Dixon-Peugh,0.09063313720130627,,0.29380655776236925,0.1725129384703853
org.apache:bcel,Conor MacNeill,3.93696681100833,,,0.1725129384703853
org.apache:bcel,Simon Kitching,,,,0.05750431282346176
org.apache:bcel,Henri Yandell,0.06887399116686567,,,1.0350776308223117
org.apache:bcel,David Brosius,1.8513256894592223,5.160142348754448,3.126101774591609,10.868315123634273
org.apache:bcel,Torsten Curdt,12.966472932341643,16.370106761565836,10.036432013162534,4.6578493387004025
org.apache:bcel,Daniel Rall,,,,0.05750431282346176
org.apache:bcel,Mark Emlyn David Thomas,4.694221058537497,,8.238335879656834,0.8050603795284647
org.apache:bcel,Sebastian Bazley,10.142639294500151,2.491103202846975,13.914678575625809,23.749281196089708
